design,method,lower_error_freq,upper_error_freq,coverage
304,WprevSeSp,0,0,1
304,WprevSeSp_gamma_result,0,0,1
305,WprevSeSp,0,0,1
305,WprevSeSp_gamma_result,0,0,1
306,WprevSeSp,0,0.1248,0.8752
306,WprevSeSp_gamma_result,0,1e-4,0.9999
307,WprevSeSp,0,0,1
307,WprevSeSp_gamma_result,0,0,1
308,WprevSeSp,0,0,1
308,WprevSeSp_gamma_result,0,0,1
309,WprevSeSp,0,0,1
309,WprevSeSp_gamma_result,0,0,1
310,WprevSeSp,0,0,1
310,WprevSeSp_gamma_result,0,0,1
311,WprevSeSp,0,0,1
311,WprevSeSp_gamma_result,0,0,1
312,WprevSeSp,0,0,1
312,WprevSeSp_gamma_result,0,0,1
313,WprevSeSp,0,0,1
313,WprevSeSp_gamma_result,0,0,1
314,WprevSeSp,0,0,1
314,WprevSeSp_gamma_result,0,0,1
315,WprevSeSp,0,0,1
315,WprevSeSp_gamma_result,0,0,1
316,WprevSeSp,0,0,1
316,WprevSeSp_gamma_result,0,0,1
317,WprevSeSp,0,0,1
317,WprevSeSp_gamma_result,0,0,1
318,WprevSeSp,0,0,1
318,WprevSeSp_gamma_result,0,0,1
319,WprevSeSp,0,0,1
319,WprevSeSp_gamma_result,0,0,1
320,WprevSeSp,0,0,1
320,WprevSeSp_gamma_result,0,0,1
321,WprevSeSp,0,0,1
321,WprevSeSp_gamma_result,0,0,1
322,WprevSeSp,0,1e-4,0.9999
322,WprevSeSp_gamma_result,0,1e-4,0.9999
323,WprevSeSp,0,0.2497,0.7503
323,WprevSeSp_gamma_result,0,0.2497,0.7503
324,WprevSeSp,0,0.111,0.889
324,WprevSeSp_gamma_result,0,0.111,0.889
325,WprevSeSp,0,0,1
325,WprevSeSp_gamma_result,0,0,1
326,WprevSeSp,0,0,1
326,WprevSeSp_gamma_result,0,0,1
327,WprevSeSp,0,0,1
327,WprevSeSp_gamma_result,0,0,1
328,WprevSeSp,0,0,1
328,WprevSeSp_gamma_result,0,0,1
329,WprevSeSp,0,0,1
329,WprevSeSp_gamma_result,0,0,1
330,WprevSeSp,0,0,1
330,WprevSeSp_gamma_result,0,0,1
331,WprevSeSp,0,0,1
331,WprevSeSp_gamma_result,0,0,1
332,WprevSeSp,0,0,1
332,WprevSeSp_gamma_result,0,0,1
333,WprevSeSp,0,0,1
333,WprevSeSp_gamma_result,0,0,1
334,WprevSeSp,0,0,1
334,WprevSeSp_gamma_result,0,0,1
335,WprevSeSp,0,0,1
335,WprevSeSp_gamma_result,0,0,1
336,WprevSeSp,0,0,1
336,WprevSeSp_gamma_result,0,0,1
337,WprevSeSp,0,0,1
337,WprevSeSp_gamma_result,0,0,1
338,WprevSeSp,0,0,1
338,WprevSeSp_gamma_result,0,0,1
339,WprevSeSp,0,0,1
339,WprevSeSp_gamma_result,0,0,1
340,WprevSeSp,0,0,1
340,WprevSeSp_gamma_result,0,0,1
341,WprevSeSp,0,0.1111,0.8889
341,WprevSeSp_gamma_result,0,0.1111,0.8889
342,WprevSeSp,0,0,1
342,WprevSeSp_gamma_result,0,0,1
343,WprevSeSp,0,0,1
343,WprevSeSp_gamma_result,0,0,1
344,WprevSeSp,0,0,1
344,WprevSeSp_gamma_result,0,0,1
345,WprevSeSp,0,0,1
345,WprevSeSp_gamma_result,0,0,1
346,WprevSeSp,0,0,1
346,WprevSeSp_gamma_result,0,0,1
347,WprevSeSp,0,0,1
347,WprevSeSp_gamma_result,0,0,1
348,WprevSeSp,0,0,1
348,WprevSeSp_gamma_result,0,0,1
349,WprevSeSp,0,0,1
349,WprevSeSp_gamma_result,0,0,1
350,WprevSeSp,0,0,1
350,WprevSeSp_gamma_result,0,0,1
351,WprevSeSp,0,0,1
351,WprevSeSp_gamma_result,0,0,1
352,WprevSeSp,0,0,1
352,WprevSeSp_gamma_result,0,0,1
353,WprevSeSp,0,0,1
353,WprevSeSp_gamma_result,0,0,1
354,WprevSeSp,0,0,1
